journal,quartile
ACADEMIC MEDICINE,1
Academy of Management Annals,1
ACADEMY OF MANAGEMENT JOURNAL,1
ACADEMY OF MANAGEMENT REVIEW,1
ACCIDENT ANALYSIS AND PREVENTION,1
ACCOUNTS OF CHEMICAL RESEARCH,1
Accounts of Materials Research,1
ACM COMPUTING SURVEYS,1
ACM Transactions on Computer-Human Interaction,1
ACM TRANSACTIONS ON GRAPHICS,1
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1
Across Languages and Cultures,1
ACS Catalysis,1
ACS Central Science,1
ACS Energy Letters,1
ACS Macro Letters,1
ACS Nano,1
ACS Photonics,1
ACS Sensors,1
ACS Sustainable Chemistry & Engineering,1
Acta Biomaterialia,1
Acta Geotechnica,1
ACTA MATERIALIA,1
ACTA MATHEMATICA,1
ACTA MUSICOLOGICA,1
ACTA NEUROPATHOLOGICA,1
Acta Neuropathologica Communications,1
ACTA NUMERICA,1
Acta Pharmaceutica Sinica B,1
Acta Physiologica,1
Active Learning in Higher Education,1
Additive Manufacturing,1
ADMINISTRATIVE SCIENCE QUARTERLY,1
Advanced Composites and Hybrid Materials,1
ADVANCED DRUG DELIVERY REVIEWS,1
Advanced Energy Materials,1
ADVANCED ENGINEERING INFORMATICS,1
Advanced Fiber Materials,1
ADVANCED FUNCTIONAL MATERIALS,1
Advanced Industrial and Engineering Polymer Research,1
ADVANCED MATERIALS,1
ADVANCED NONLINEAR STUDIES,1
Advanced Photonics,1
Advanced Powder Materials,1
Advanced Science,1
Advances in Applied Energy,1
Advances in Archaeological Practice,1
ADVANCES IN ATMOSPHERIC SCIENCES,1
Advances in Climate Change Research,1
ADVANCES IN COLLOID AND INTERFACE SCIENCE,1
Advances in Geo-Energy Research,1
ADVANCES IN MATHEMATICS,1
Advances in Methods and Practices in Psychological Science,1
Advances in Nonlinear Analysis,1
Advances in Optics and Photonics,1
ADVANCES IN PHYSICS,1
Aerospace Science and Technology,1
AGEING RESEARCH REVIEWS,1
Aggregate,1
AGING CELL,1
AGRICULTURAL AND FOREST METEOROLOGY,1
AGRICULTURAL SYSTEMS,1
Agricultural Water Management,1
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,1
Agronomy for Sustainable Development,1
AGU Advances,1
Algebraic Geometry,1
ALIMENTARY PHARMACOLOGY & THERAPEUTICS,1
ALLERGY,1
Alzheimers & Dementia,1
Alzheimers Research & Therapy,1
AMERICAN ANTHROPOLOGIST,1
AMERICAN ANTIQUITY,1
American Economic Journal-Applied Economics,1
American Economic Journal-Economic Policy,1
American Economic Journal-Macroeconomics,1
AMERICAN ECONOMIC REVIEW,1
American Economic Review-Insights,1
AMERICAN EDUCATIONAL RESEARCH JOURNAL,1
AMERICAN ETHNOLOGIST,1
AMERICAN HISTORICAL REVIEW,1
AMERICAN JOURNAL OF BIOETHICS,1
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,1
AMERICAN JOURNAL OF CLINICAL NUTRITION,1
AMERICAN JOURNAL OF GASTROENTEROLOGY,1
AMERICAN JOURNAL OF HEMATOLOGY,1
AMERICAN JOURNAL OF HUMAN GENETICS,1
AMERICAN JOURNAL OF KIDNEY DISEASES,1
AMERICAN JOURNAL OF MATHEMATICS,1
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,1
AMERICAN JOURNAL OF OPHTHALMOLOGY,1
AMERICAN JOURNAL OF POLITICAL SCIENCE,1
AMERICAN JOURNAL OF PSYCHIATRY,1
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1
AMERICAN JOURNAL OF SOCIOLOGY,1
AMERICAN JOURNAL OF SPORTS MEDICINE,1
AMERICAN JOURNAL OF SURGICAL PATHOLOGY,1
AMERICAN JOURNAL OF TRANSPLANTATION,1
AMERICAN POLITICAL SCIENCE REVIEW,1
AMERICAN PSYCHOLOGIST,1
AMERICAN SOCIOLOGICAL REVIEW,1
AMERICAS,1
ANAESTHESIA,1
Analysis & PDE,1
Analytic Methods in Accident Research,1
ANALYTICAL CHEMISTRY,1
Ancient Mesoamerica,1
ANESTHESIOLOGY,1
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1
ANGIOGENESIS,1
Animal,1
Animal Nutrition,1
ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE,1
ANNALS OF EMERGENCY MEDICINE,1
Annals of Intensive Care,1
ANNALS OF INTERNAL MEDICINE,1
ANNALS OF MATHEMATICS,1
ANNALS OF NEUROLOGY,1
ANNALS OF ONCOLOGY,1
Annals of PDE,1
ANNALS OF PROBABILITY,1
ANNALS OF SCIENCE,1
ANNALS OF STATISTICS,1
ANNALS OF SURGERY,1
ANNALS OF THE RHEUMATIC DISEASES,1
ANNALS OF TOURISM RESEARCH,1
Annual Review of Animal Biosciences,1
Annual Review of Anthropology,1
Annual Review of Applied Linguistics,1
Annual Review of Astronomy and Astrophysics,1
Annual Review of Biochemistry,1
Annual Review of Biomedical Engineering,1
Annual Review of Biophysics,1
Annual Review of Cell and Developmental Biology,1
Annual Review of Chemical and Biomolecular Engineering,1
Annual Review of Clinical Psychology,1
Annual Review of Control Robotics and Autonomous Systems,1
Annual Review of Criminology,1
Annual Review of Earth and Planetary Sciences,1
Annual Review of Ecology Evolution and Systematics,1
Annual Review of Economics,1
Annual Review of Entomology,1
Annual Review of Environment and Resources,1
Annual Review of Fluid Mechanics,1
Annual Review of Food Science and Technology,1
Annual Review of Genetics,1
Annual Review of Genomics and Human Genetics,1
Annual Review of Immunology,1
Annual Review of Linguistics,1
Annual Review of Marine Science,1
Annual Review of Materials Research,1
Annual Review of Medicine,1
Annual Review of Microbiology,1
Annual Review of Neuroscience,1
Annual Review of Nutrition,1
Annual Review of Organizational Psychology and Organizational Behavior,1
Annual Review of Pathology-Mechanisms of Disease,1
Annual Review of Pharmacology and Toxicology,1
Annual Review of Physical Chemistry,1
Annual Review of Physiology,1
Annual Review of Phytopathology,1
Annual Review of Plant Biology,1
Annual Review of Political Science,1
Annual Review of Psychology,1
Annual Review of Public Health,1
Annual Review of Sociology,1
Annual Review of Statistics and Its Application,1
Annual Review of Virology,1
ANTIPODE,1
ANTIQUITY,1
Applied Catalysis B-Environment and Energy,1
APPLIED ENERGY,1
APPLIED LINGUISTICS,1
